company_id,event_month,alert_month,lead_months,health_at_event,health_6m_before
COMP_0386,2025-08,,,81.85770266668857,
COMP_0398,2026-06,2026-03,3.0,61.847456802379625,94.13050677890007
COMP_0404,2025-12,,,95.51387064831509,93.39399644983014
COMP_0405,2025-09,,,92.45321397353342,94.60180051214897
COMP_0415,2026-06,,,93.09156764389735,
COMP_0418,2025-10,2025-06,4.0,58.14523379166879,34.516710680135496
COMP_0423,2026-04,,,94.57631528666974,93.12668302137206
COMP_0430,2025-11,,,,
COMP_0433,2025-07,2025-06,1.0,60.86038687659435,77.72777495547194
COMP_0440,2026-06,2025-07,11.0,51.78382676798551,67.53948214206193
COMP_0454,2026-03,,,96.14621794079451,98.07423413556023
COMP_0461,2026-03,2026-02,1.0,75.76372664058559,85.9325452850265
COMP_0466,2025-10,2025-06,4.0,54.777491600691945,59.25814710100938
COMP_0473,2025-08,,,,
COMP_0474,2025-10,,,89.61155230831531,79.05472087095697
COMP_0475,2025-07,2025-06,1.0,49.142151331642054,86.45510529175215
COMP_0476,2026-05,,,90.94991169003094,88.58038315451478
COMP_0477,2025-09,,,,
COMP_0489,2026-01,2025-12,1.0,44.604675877713504,
COMP_0495,2025-10,2025-06,4.0,74.36525432772399,55.11585714676602
COMP_0497,2025-12,,,,
COMP_0498,2026-02,,,81.8787134780858,
COMP_0499,2026-07,2026-01,6.0,83.05098214674896,55.36217635562117
COMP_0509,2025-07,,,88.4518482807222,91.10119750537581
COMP_0512,2026-05,,,95.05446076004272,95.77758900706101
COMP_0529,2025-08,2025-07,1.0,70.22007882826321,
COMP_0531,2026-03,,,97.88204708237052,96.77838640774414
COMP_0537,2025-10,2025-07,3.0,57.027707192595805,
COMP_0540,2026-01,,,87.16157316409439,
COMP_0544,2026-02,2026-02,0.0,81.6682534178105,96.903640600426
COMP_0552,2026-04,2025-06,10.0,45.666238962201575,48.944502416350616
COMP_0568,2026-01,,,95.25682246043374,93.44430069929754
COMP_0570,2026-01,,,,
COMP_0576,2025-10,,,,
COMP_0579,2025-12,2025-06,6.0,47.90388527546365,23.496346469351447
COMP_0591,2026-01,,,92.99307133203897,
COMP_0597,2025-11,2025-11,0.0,67.18694267674232,
COMP_0612,2026-07,2026-02,5.0,79.03024255728837,87.35023086439284
COMP_0613,2026-01,2025-06,7.0,83.99364610268844,89.29468961818287
COMP_0622,2026-07,2026-07,0.0,83.13879169710474,95.24726285807895
COMP_0624,2025-12,,,91.79387144656113,96.32706782198045
COMP_0625,2025-11,2025-06,5.0,44.30186023336559,71.88717582859563
COMP_0633,2026-07,2026-07,0.0,80.57664462184937,94.96568166041213
COMP_0637,2026-06,2026-01,5.0,72.3293088884322,95.52875834341252
COMP_0640,2025-07,,,94.6214812103814,91.78678821231111
COMP_0646,2026-02,,,94.8326108108266,97.01556742487836
COMP_0647,2026-03,2026-03,0.0,86.78303895155909,93.43429435783219
COMP_0662,2025-07,,,,
COMP_0663,2026-02,,,88.97247301328224,
COMP_0665,2026-01,,,95.41797486112142,97.51577354375084
COMP_0669,2026-02,2026-02,0.0,69.92907421086548,
COMP_0676,2025-08,,,,
COMP_0678,2026-07,2025-10,9.0,55.55240227238275,68.06677029217659
COMP_0681,2025-09,2025-06,3.0,56.692444766322915,65.52146612597019
COMP_0690,2025-11,2025-11,0.0,57.439803801365755,
COMP_0692,2026-06,2025-09,9.0,88.49030449856141,95.97894208324514
COMP_0693,2025-07,2025-06,1.0,20.427360605744077,24.874862421762145
COMP_0694,2026-03,2025-06,9.0,21.25090601359236,19.277630051531418
COMP_0707,2025-08,,,95.90923741947367,97.21971573819675
COMP_0709,2025-12,,,95.96362098545956,
COMP_0711,2025-10,2025-06,4.0,51.6866654228254,71.53502089775657
COMP_0713,2025-07,,,96.58419610381026,95.79850202400036
COMP_0714,2025-08,2025-06,2.0,51.57351660930476,
COMP_0715,2026-02,2026-02,0.0,77.42650392313146,84.96610714612032
COMP_0720,2026-06,2025-09,9.0,78.03186262784732,84.75927770802949
COMP_0729,2026-01,2025-06,7.0,87.06325006960682,64.06925379778879
COMP_0731,2026-05,,,93.15682233439719,
COMP_0733,2026-06,2025-07,11.0,93.58026555657761,91.74315744260173
COMP_0741,2026-05,2026-05,0.0,64.32940802621131,95.50261493395396
COMP_0742,2026-07,,,97.13638009442928,93.19544791987329
COMP_0757,2026-06,,,95.21476443258103,
COMP_0760,2026-05,2026-05,0.0,67.09694342536626,78.17584143809572
COMP_0770,2025-11,,,96.52195285746177,98.46793394319221
COMP_0771,2026-07,2025-10,9.0,58.81231925991323,69.47276817844745
COMP_0784,2026-06,2026-06,0.0,73.7797268514872,80.19561310562939
COMP_0790,2026-07,,,96.55192773268237,94.64921409046943
COMP_0794,2026-03,2025-08,7.0,93.05994098208612,79.85079958795488
COMP_0800,2026-06,,,78.4859115327018,78.7127911894271
COMP_0806,2026-04,,,91.6802941686463,95.38987906564384
COMP_0811,2026-04,2026-04,0.0,67.59235354559495,83.55476622332597
COMP_0817,2025-07,2025-06,1.0,36.10489480042927,39.91242604887425
COMP_0821,2025-07,2025-06,1.0,40.20646225775907,42.35523381792186
COMP_0833,2026-04,2025-06,10.0,50.701404738686264,28.748093729892574
COMP_0838,2025-11,,,92.1754116550824,97.48122323865118
COMP_0840,2025-08,2025-06,2.0,41.6639747838302,46.558635189373376
COMP_0848,2025-08,2025-08,0.0,73.44268678891248,74.27164969843616
COMP_0856,2026-03,,,96.73974217563003,97.25710455179723
COMP_0857,2026-06,,,80.90050976326974,84.62463353174002
COMP_0862,2026-06,2026-06,0.0,77.9091175195152,95.1247688569356
COMP_0865,2026-06,2026-03,3.0,84.32256838714653,92.93631584712844
COMP_0867,2026-05,2025-08,9.0,65.12243829019417,58.60045776938687
COMP_0869,2026-03,2025-06,9.0,47.81344728575276,52.54510185101843
COMP_0870,2026-05,2026-03,2.0,71.91441767591678,85.96283240801498
COMP_0878,2025-12,,,,
COMP_0883,2026-01,2025-09,4.0,44.213619328577806,87.72279400620943
COMP_0889,2026-06,2026-05,1.0,68.0550845952964,90.84740893811278
COMP_0895,2025-07,,,96.34626975694708,97.57625138518156
COMP_0910,2025-07,2025-06,1.0,48.55786646972551,
COMP_0911,2025-10,2025-06,4.0,41.53552198414603,42.00303762543922
COMP_0912,2025-08,,,,
COMP_0914,2026-06,,,98.60376321908312,98.75897857117172
COMP_0916,2025-11,2025-06,5.0,81.86734009677511,78.30251787313301
COMP_0917,2025-11,2025-06,5.0,57.78787511673343,81.00613785431051
COMP_0923,2025-12,,,92.90827991220114,95.73432822803056
COMP_0925,2026-02,2026-02,0.0,65.02712100473677,
COMP_0928,2025-09,,,89.58164111178039,
COMP_0938,2025-10,2025-06,4.0,32.8532444622395,48.67415583544117
COMP_0943,2025-10,,,,
COMP_0944,2025-11,,,,
COMP_0947,2026-07,2026-06,1.0,56.439068897064686,78.21313350734525
COMP_0954,2026-03,,,79.97939014980872,
COMP_0956,2026-04,,,92.29668149697375,
COMP_0957,2026-04,,,89.81999789077044,
COMP_0960,2025-07,,,86.88608917595565,91.73423985419036
COMP_0962,2026-05,2026-05,0.0,71.02545788245342,78.57724801793914
COMP_0976,2026-06,2025-12,6.0,67.90634325875112,73.91359382078574
COMP_0980,2026-05,2026-05,0.0,64.1752490598152,83.31604689831514
COMP_0989,2025-07,,,86.12141317173663,
COMP_1000,2026-04,2025-10,6.0,61.26581406367775,67.74188484286668
COMP_1002,2025-10,,,89.0867792172322,
COMP_1004,2026-02,2026-02,0.0,77.95648155903274,96.29296947679728
COMP_1006,2026-05,,,92.7835629094912,94.77301810201712
COMP_1011,2026-05,,,89.84752385013049,92.61616578391987
COMP_1018,2026-04,2025-11,5.0,94.75476974777948,75.1740312191359
COMP_1019,2026-01,,,94.28127658309458,96.88191240257453
COMP_1025,2026-07,2026-03,4.0,78.32254640756625,93.60294986042885
COMP_1026,2025-11,,,,
COMP_1035,2025-11,,,93.57115316926665,96.25940229395457
COMP_1039,2026-05,2026-05,0.0,87.30364503902155,97.79178797512228
COMP_1042,2025-12,2025-06,6.0,44.99510888929947,29.149849732148176
COMP_1043,2026-06,,,96.15569345584902,94.75824312775394
COMP_1044,2026-03,,,88.50682225906215,
COMP_1061,2026-06,2025-06,12.0,66.69061361517723,41.49050091404574
COMP_1068,2026-03,,,91.56075460576034,
COMP_1069,2026-03,2025-08,7.0,86.91368137664254,74.80769755041314
COMP_1089,2025-07,,,85.6729667885008,83.53500807546294
COMP_1095,2025-10,,,95.10858366472561,92.63897927947973
COMP_1098,2026-07,2025-07,12.0,79.19349618693371,83.90808644225339
COMP_1109,2025-12,,,91.1485970620758,97.79652562254904
COMP_1110,2025-09,,,,
COMP_1121,2026-04,,,87.80060611229912,93.06936229659209
COMP_1126,2026-05,,,96.88524988619268,
COMP_1134,2026-04,,,93.86480453124517,96.33539873456701
COMP_1138,2026-06,,,88.84564699639796,94.40644375206205
COMP_1143,2026-01,2025-06,7.0,49.721541819407236,37.26912569919817
COMP_1148,2026-05,2025-10,7.0,60.034622107066824,60.24583027309015
COMP_1152,2026-04,2026-04,0.0,76.86653243488999,91.73464310816516
COMP_1153,2025-11,2025-06,5.0,33.012140170082226,23.485986084578485
COMP_1159,2025-09,,,87.75917444843492,
COMP_1161,2026-01,,,,
COMP_1192,2026-03,,,97.53100883876711,97.36016343620645
COMP_1195,2026-01,,,92.93653248347616,
COMP_1198,2025-08,,,95.48538203616673,91.41445490890699
COMP_1203,2026-03,2026-03,0.0,65.66046769433005,
COMP_1208,2026-03,,,92.24176134164335,
COMP_1218,2026-04,2025-12,4.0,66.00159033560413,
COMP_1226,2026-05,,,92.11396218499358,84.5940946830914
COMP_1233,2025-12,,,90.56998106533968,92.10736580933568
COMP_1236,2025-09,2025-06,3.0,58.45471966239701,84.45008657301632
COMP_1239,2025-11,,,92.26186915447309,97.45091263969951
COMP_1244,2025-10,,,91.27371406776797,
COMP_1245,2026-02,2025-12,2.0,79.93775325363899,89.12279986856282
COMP_1252,2025-08,2025-06,2.0,30.519883186527764,31.06482568120473
COMP_1255,2025-08,2025-06,2.0,50.21428807174847,77.99601474391686
COMP_1262,2026-03,,,92.74762834507416,
COMP_1264,2025-08,2025-06,2.0,75.00527470959122,94.60148359219907
COMP_1265,2025-08,2025-08,0.0,74.52503907937997,44.81395900422646
COMP_1285,2026-06,,,76.7185781346586,80.65011590260482
