feature,mean_abs_shap,block,label
pay_amt_open_overdue_ratio_w6,0.051635444428365956,B,Importe vencido abierto sobre facturado a pagar (6 m)
cash_months_of_outflow,0.05099169771544477,A,Meses de gasto operativo cubiertos por la caja
bank_peer_pay_open_overdue_w6,0.04955415860444473,E,% facturas vencidas de empresas del mismo banco principal
cash_neg_months_w12,0.0486249352355008,C,Meses en descubierto (12 m)
sib_interest_n_w6,0.04798399295524914,E,Liquidaciones de intereses de las empresas hermanas (6 m)
io_ratio_w1,0.046835072372595536,C,Ratio cobros/pagos (último mes)
io_ratio_w12,0.04658027003636528,C,Ratio cobros/pagos (12 m)
reconciled_delta_w3_w12,0.04438658252074285,F,Cambio en la tasa de conciliación (3 m vs 12 m)
io_ratio_w6,0.04289594563119853,C,Ratio cobros/pagos (6 m)
n_counterparties_w3_mean,0.04184134465948318,D,Contrapartidas bancarias distintas por mes (3 m)
sib_io_ratio_w3,0.04110490283892401,E,Ratio cobros/pagos de las empresas hermanas (3 m)
inv_issued_w3_log,0.0378234003314018,F,Facturas emitidas (3 m)
group_size,0.03578517390514058,A,Tamaño del grupo empresarial
tax_share_of_outflow_w6,0.03542931977378119,B,Impuestos sobre pagos (6 m)
pay_open_overdue_cv12,0.035418319756507236,B,Estacionalidad del impago (12 m)
tax_months_share_w6,0.03455471097731795,B,Meses con pago de impuestos (6 m)
ss_day_mean_w3,0.03346897181919764,B,Día del mes de pago de Seg. Social (3 m)
n_bank_accounts,0.033247358170266084,A,Cuentas corrientes
months_in_panel,0.03288186927791354,A,Meses de historial disponible
cash_neg_months_w3,0.03274577272122317,C,Meses en descubierto (3 m)
n_tx_trend6,0.03182438154713918,C,Tendencia de actividad transaccional (6 m)
n_banks,0.030755935434692336,A,Número de bancos
inv_issued_ratio_w3_w12,0.030081183815610504,F,Facturas emitidas 3 m frente a media 12 m
active_days_w3,0.029566830575164165,C,Días con actividad bancaria (3 m)
hhi_in_delta3,0.0294838505483402,D,Cambio en concentración de clientes (3 m)
pay_dpd_mean_w12,0.029367471021325885,B,Retraso medio de pago a proveedores (12 m)
outflow_trend6,0.029323843702646884,C,Tendencia de pagos (6 m)
no_counterparty_delta_w3_w12,0.028935625046128906,F,Cambio en movimientos sin contrapartida (3 m vs 12 m)
io_ratio_trend6,0.02775684235419051,C,Tendencia del ratio cobros/pagos (6 m)
debt_service_ratio_w6,0.02713466234173245,A,Servicio de la deuda sobre cobros (6 m)
turnover_out_w12_log,0.026519454022641286,A,Pagos operativos anuales
pay_term_days_w6,0.026388682019219713,B,Plazo medio de pago pactado (6 m)
outflow_w6_log,0.025034871345947313,C,Pagos (6 m)
salary_amt_ratio_w3_w12,0.024428089554709577,B,Nóminas 3 m frente a media 12 m
inactive_months_w6,0.02440055203742174,C,Meses sin transacciones (6 m)
uncategorized_share_w3,0.024336489164446272,F,Movimientos sin categoría (3 m)
ss_amt_ratio_w3_w12,0.023590966821258733,B,Seg. Social 3 m frente a media 12 m
n_products_total,0.023577807621647188,A,Productos bancarios conectados
top1_out_share,0.0232671989530996,D,Peso del mayor proveedor en los pagos
credit_util_max_w6,0.022779893730185678,C,Utilización máxima de líneas de crédito (6 m)
inv_stress_rate_w6,0.022428831464607387,F,Facturas con términos de estrés (6 m)
outflow_w1_log,0.022283141495054004,C,Pagos del último mes
n_tx_w3_log,0.02223655992988434,C,Transacciones en 3 meses
n_siblings_active,0.02200441831240908,E,Empresas hermanas activas en el grupo
net_flow_norm_w3,0.021870763028688987,C,Flujo neto sobre pagos (3 m)
stress_terms_rate_w12,0.020539766091196867,F,Movimientos con términos de estrés (12 m)
io_ratio_w3,0.020412823792890215,C,Ratio cobros/pagos (3 m)
salary_day_delta,0.02003306627096105,B,Cambio en el día de pago de nóminas (3 m vs 12 m)
pay_open_overdue_share_w6,0.01973049772564746,B,% facturas a pagar vencidas y abiertas (6 m)
no_accounting_delta_w3_w12,0.01858825597445821,F,Cambio en movimientos sin estado contable
cash_trend6,0.018156144241554803,C,Tendencia del saldo de caja (6 m)
pay_amt_open_overdue_ratio_w12,0.018045169201264723,B,Importe vencido abierto sobre facturado a pagar (12 m)
n_cp_out_log,0.01769463068415001,D,Proveedores con pagos identificados (6 m)
rec_open_overdue_trend6,0.01768849400991098,B,Tendencia del % de facturas a cobrar vencidas (6 m)
pay_dpd_p90_w6,0.017388385937273373,B,Retraso p90 de pago a proveedores (6 m)
pay_max_open_dpd_w12,0.017345891898740223,B,Factura a pagar más antigua sin pagar
rec_bad_share_w6,0.0172885293535364,B,% facturas a cobrar con más de 30 días de retraso (6 m)
cash_withdrawal_share_w6,0.016520685820515968,C,Retiradas de efectivo sobre movimientos (6 m)
inflow_w1_log,0.016457629326457092,C,Cobros del último mes
rec_open_overdue_share_w3,0.016382647927070414,B,% facturas a cobrar vencidas y abiertas (3 m)
no_accounting_share_w3,0.016113021820603375,F,Movimientos sin estado contable (3 m)
cash_conversion_days_w6,0.015789551495231795,C,Ciclo de cobro aproximado (emisión → cobro)
months_since_last_invoice,0.015597912987885139,F,Meses desde la última factura sincronizada del ERP
pay_n_w6_log,0.015035389250967708,B,Facturas a pagar vencidas en 6 m
rec_dpd_mean_w3,0.014965211013928077,B,Retraso medio de cobro de clientes (3 m)
pay_bad_share_delta3,0.014743193134473184,B,Cambio en % facturas con >30 d (3 m)
loan_granted_total,0.014692722940349923,A,Préstamos concedidos
pay_bad_share_w3,0.014575977941964025,B,% facturas a pagar con más de 30 días de retraso (3 m)
refund_share_w6,0.014238647829460783,C,Devoluciones sobre movimientos (6 m)
top1_in_delta3,0.014118504738699125,D,Cambio en peso del mayor cliente (3 m)
stress_terms_rate_w6,0.013974553043210972,F,"Movimientos con términos de estrés (devolución, impagado…) (6 m)"
rec_amt_open_overdue_ratio_w6,0.013865793077507719,B,Importe a cobrar vencido sobre facturado (6 m)
total_periods_mean,0.013398071089513597,A,Plazo medio de los préstamos
turnover_in_w12_log,0.013346878751956923,A,Cobros operativos anuales
country,0.013267680342772887,A,País
interest_n_w12,0.01320654655383033,C,Liquidaciones de intereses/descubierto (12 m)
inflow_w3_log,0.013089446339896865,C,Cobros (3 m)
debt_granted_total,0.01297115852109968,A,Financiación concedida total
inv_no_cp_share_w6,0.012720576700714654,F,Facturas sin contrapartida (6 m)
interest_n_w6,0.012382690178332524,C,Liquidaciones de intereses/descubierto (6 m)
hhi_out,0.012123212450906005,D,Concentración de pagos por proveedor (HHI)
rec_dpd_mean_w6,0.011535024372116051,B,Retraso medio de cobro de clientes (6 m)
ss_months_share_w6,0.011395867350545211,B,Meses con pago de Seguridad Social (6 m)
hhi_in,0.011314404907566022,D,Concentración de cobros por cliente (HHI)
cash_neg_months_w6,0.01129338078600275,C,Meses en descubierto (6 m)
currency,0.010858459261428166,A,Divisa
n_cp_in_log,0.010525456378948138,D,Clientes con cobros identificados (6 m)
outflow_w3_log,0.010344982226609054,C,Pagos (3 m)
n_cash_accounts_neg_T,0.009435553826940182,C,Cuentas en negativo a fin de mes
interest_n_w3,0.009413229676577081,C,Liquidaciones de intereses/descubierto (3 m)
salary_months_share_w6,0.009068263051788124,B,Meses con pago de nóminas (6 m)
inflow_trend6,0.008954888507199426,C,Tendencia de cobros (6 m)
stress_terms_n_w3,0.00889747392216765,F,Movimientos con términos de estrés (3 m)
card_drawn_T_log,0.008851405955112331,A,Saldo de tarjetas
credit_util_T,0.008804283652195419,A,Utilización de líneas de crédito
pay_open_overdue_trend6,0.008491015118381254,B,Tendencia del % de facturas vencidas abiertas (6 m)
credit_util_trend6,0.008132150199873744,C,Tendencia de utilización de líneas (6 m)
stress_trend6,0.006937627601852225,F,Tendencia de términos de estrés (6 m)
top1_in_share,0.006480699676399884,D,Peso del mayor cliente en los cobros
erp_missing,0.006270122581864942,F,Sin ERP conectado
credit_drawn_T_log,0.005852974758011739,A,Crédito dispuesto
rec_n_w6_log,0.0054825522146082425,B,Facturas a cobrar vencidas en 6 m
reconciled_share_w3,0.005308813784556524,F,Movimientos conciliados (3 m)
stress_terms_rate_w3,0.005202786525618117,F,Movimientos con términos de estrés (3 m)
n_eff_clients,0.005042261155938874,D,Número efectivo de clientes
debt_repayment_trend6,0.004175966816316039,C,Tendencia de amortización de deuda (6 m)
interest_trend6,0.003396538660874715,C,Tendencia de liquidaciones de intereses (6 m)
country_missing,0.0025956093871362124,F,País no informado
cp_in_churn,0.002566669227191876,D,Clientes perdidos frente al semestre anterior
n_loans,0.002286389060798867,A,Préstamos
n_debt_products,0.0021613761811444133,A,Número de productos de financiación
n_confirming_factoring,0.001629068719612218,A,Confirming / factoring
n_credit_lines,0.0011185110546252032,A,Líneas de crédito
n_cards,0.0010264419464860609,A,Tarjetas
n_leasing,0.0001741032229714274,A,Leasings
wavg_interest_rate,0.0,A,Tipo de interés medio
share_variable_rate,0.0,A,Deuda a tipo variable
pending_status_share_w3,0.0,F,Movimientos pendientes de contabilizar (3 m)
has_invoices,0.0,F,Facturación sincronizada desde ERP
n_guarantees,0.0,A,Avales
